Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Average Score,Median Score,Average Move Count,Median Moves
score-mnmx(d=4),500,1575.43,6284.6,100.0,100.0,100.0,100.0,100.0,100.0,99.0,82.2,18.4,0.0,0.0,0.0,0.0,0.0,15860.376,15730,913.134,923
score-mnmx(d=5),500,40594.3,161854,100.0,100.0,100.0,100.0,100.0,100.0,99.4,86.6,24.6,0.0,0.0,0.0,0.0,0.0,17423.728,16138,988.826,950
score-expmx(d=-1),500,12084.3,48130.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.6,28.6,0.0,0.0,0.0,0.0,40649.336,36266,2015.138,1881.5
score-expmx(d=0),500,548.24,2179.44,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.6,75.8,7.0,0.0,0.0,0.0,0.0,30510.704,32342,1580.82,1659.5
score-expmx(d=1),200000,18.418,73.672,100.0,100.0,100.0,99.99,99.6775,93.914,62.6655,15.4615,0.313,0.0,0.0,0.0,0.0,0.0,6828.3044,6364,469.9676,449
score-expmx(d=2),10000,77.178,308.641,100.0,100.0,100.0,100.0,100.0,99.93,95.67,56.95,3.4,0.0,0.0,0.0,0.0,0.0,11282.7276,12116,690.8191,717
score-expmx(d=3),2000,1273.32,5091.36,100.0,100.0,100.0,100.0,100.0,100.0,99.8,92.3,36.75,0.1,0.0,0.0,0.0,0.0,19903.034,16268,1101.3305,965
score-expmx(d=4),500,8778.06,35053.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.2,75.2,3.2,0.0,0.0,0.0,0.0,29214.448,32278,1528.612,1649
corner-rnd_t(d=1 t=1),200000,4.996,19.984,100.0,100.0,99.999,99.9365,98.7615,86.5525,35.9955,1.027,0.0,0.0,0.0,0.0,0.0,0.0,4585.0044,4112,349.2831,333
corner-rnd_t(d=1 t=2),200000,9.168,36.672,100.0,100.0,99.998,99.951,99.0855,89.8525,49.3105,3.4955,0.003,0.0,0.0,0.0,0.0,0.0,5427.106,4632,397.5091,371
corner-rnd_t(d=1 t=3),200000,13.15,52.595,100.0,100.0,99.9995,99.9585,99.1295,90.8305,52.487,4.3265,0.006,0.0,0.0,0.0,0.0,0.0,5673.8255,5400,411.8122,383
corner-rnd_t(d=1 t=4),200000,17.488,69.952,100.0,100.0,99.999,99.964,99.181,91.272,54.092,4.8135,0.008,0.0,0.0,0.0,0.0,0.0,5814.8954,5604,420.0782,394
corner-rnd_t(d=1 t=5),200000,21.396,85.584,100.0,100.0,100.0,99.974,99.238,91.8,55.8825,5.3365,0.006,0.0,0.0,0.0,0.0,0.0,5944.5446,5732,427.564,406
corner-rnd_t(d=1 t=6),200000,25.467,101.865,100.0,100.0,99.9995,99.968,99.2525,92.234,57.495,5.754,0.0095,0.0,0.0,0.0,0.0,0.0,6071.6116,5892,435.0768,417
corner-rnd_t(d=1 t=7),200000,29.508,118.029,100.0,100.0,100.0,99.9695,99.3465,92.5245,58.487,6.1455,0.0145,0.0,0.0,0.0,0.0,0.0,6164.8314,6024,440.4528,426
corner-rnd_t(d=1 t=8),200000,33.587,134.348,100.0,100.0,100.0,99.976,99.342,92.8645,59.586,6.433,0.009,0.0,0.0,0.0,0.0,0.0,6251.6528,6092,445.6033,432
corner-rnd_t(d=1 t=9),200000,37.835,151.34,100.0,100.0,99.9995,99.9625,99.319,93.174,60.66,6.84,0.014,0.0,0.0,0.0,0.0,0.0,6349.8175,6220,451.2506,439
corner-rnd_t(d=1 t=10),200000,42.017,168.068,100.0,100.0,100.0,99.9735,99.361,93.449,61.5255,7.105,0.0175,0.0,0.0,0.0,0.0,0.0,6422.3338,6328,455.5634,445
corner-rnd_t(d=2 t=1),200000,23.535,94.137,100.0,100.0,100.0,99.9975,99.676,92.8235,62.5355,17.474,0.3585,0.0,0.0,0.0,0.0,0.0,6618.2156,6208,448.9915,430
corner-rnd_t(d=2 t=2),10000,4.501,18,100.0,100.0,100.0,100.0,99.85,96.0,74.5,32.46,2.18,0.0,0.0,0.0,0.0,0.0,8677.2616,7328,557.9899,506
corner-rnd_t(d=2 t=3),10000,10.583,42.332,100.0,100.0,100.0,100.0,99.84,97.09,80.46,43.18,6.21,0.0,0.0,0.0,0.0,0.0,10338.2308,8104,640.9329,562
corner-rnd_t(d=2 t=4),10000,20.538,82.132,100.0,100.0,100.0,100.0,99.94,97.89,84.58,51.99,10.59,0.04,0.0,0.0,0.0,0.0,11867.9296,11306,715.5669,681
corner-rnd_t(d=2 t=5),10000,33.619,134.468,100.0,100.0,100.0,100.0,99.92,98.37,86.85,58.04,15.28,0.22,0.0,0.0,0.0,0.0,13234.4524,12306,781.4109,741.5
corner-rnd_t(d=2 t=6),2000,10.141,40.524,100.0,100.0,100.0,100.0,100.0,98.5,89.3,62.8,19.45,0.65,0.0,0.0,0.0,0.0,14414.51,12898,836.5875,779.5
corner-rnd_t(d=2 t=7),2000,14.674,58.616,100.0,100.0,100.0,100.0,100.0,99.0,91.3,68.35,24.3,0.85,0.0,0.0,0.0,0.0,15870.092,14638,906.38,861
corner-rnd_t(d=2 t=8),2000,19.373,77.372,100.0,100.0,100.0,100.0,100.0,99.05,90.75,67.85,28.05,0.8,0.0,0.0,0.0,0.0,16331.582,15158,926.696,886
